Tag,Text,Href,Src,Value,Date-Time
a,Show all data,/honeybot,,,
h3,We would like to send you awesome offers!,,,,
p,Notifications can be turned off anytime from settings.,,,,
a,Impact@Snapdeal,https://impactatsnapdeal.com/,,,
a,Help Center,javascript:void(0);,,,
a,Sell On Snapdeal,https://sellers.snapdeal.com/,,,
img,,,,,
a,Download App,http://www.snapdeal.com/offers/getsnapdealapp,,,
h3,,,,,
a,Visit Help Center,https://www.snapdeal.com/helpcenter?redirectFrom=hook,,,
a,,https://www.snapdeal.com,,,
img,,,https://i3.sdlcdn.com/img/snapdeal/darwin/logo/sdLatestLogo.svg,,
a,,https://www.snapdeal.com,,,
img,,,,,
a,kitchen product,https://www.snapdeal.com/search?clickSrc=top_searches&keyword=kitchen product&categoryId=0&vertical=p&noOfResults=20&SRPID=topsearch,,,
a,shoes for men,https://www.snapdeal.com/search?clickSrc=top_searches&keyword=shoes for men&categoryId=0&vertical=p&noOfResults=20&SRPID=topsearch,,,
a,kurti set,https://www.snapdeal.com/search?clickSrc=top_searches&keyword=kurti set&categoryId=0&vertical=p&noOfResults=20&SRPID=topsearch,,,
a,sandal men,https://www.snapdeal.com/search?clickSrc=top_searches&keyword=sandal men&categoryId=0&vertical=p&noOfResults=20&SRPID=topsearch,,,
a,sport shoe men,https://www.snapdeal.com/search?clickSrc=top_searches&keyword=sport shoe men&categoryId=0&vertical=p&noOfResults=20&SRPID=topsearch,,,
a,saree,https://www.snapdeal.com/search?clickSrc=top_searches&keyword=saree&categoryId=0&vertical=p&noOfResults=20&SRPID=topsearch,,,
a,tshirt,https://www.snapdeal.com/search?clickSrc=top_searches&keyword=tshirt&categoryId=0&vertical=p&noOfResults=20&SRPID=topsearch,,,
a,wall stickers,https://www.snapdeal.com/search?clickSrc=top_searches&keyword=wall stickers&categoryId=0&vertical=p&noOfResults=20&SRPID=topsearch,,,
img,,,,,
p,Item(s) Added To cart,,,,
p,,,,,
p,Qty.,,,,
img,,,,,
a,Orders,https://www.snapdeal.com/myorders,,,
a,E-Gift Voucher,https://www.snapdeal.com/myEGiftVoucher,,,
a,Logout,https://www.snapdeal.com/logout,,,
a,Your Account,https://www.snapdeal.com/myorders,,,
